yelp_feature.avgstar,yelp_feature.location,yelp_feature.business_count,yelp_feature.reviewcount,yelp_feature.five_star_count,yelp_feature.four_star_count,yelp_feature.three_star_count,yelp_feature.two_star_count,yelp_feature.one_star_count,yelp_feature.senti_neg_avg,yelp_feature.senti_pos_avg,yelp_feature.senti_neu_avg,yelp_feature.senti_comp_avg,yelp_feature.senti_compound_pos_count,yelp_feature.senti_compound_neg_count,yelp_feature.senti_compound_neu_count
3.1217309697601667,219,48,47950,258,232,139,142,243,0.06302859960552266,0.15773767258382648,0.7792426035502954,0.40399280078895516,730,275,9
3.7810846560846563,220,10,4536,53,21,11,7,28,0.05376666666666664,0.18123333333333339,0.7649916666666668,0.4726391666666663,90,29,1
4.0,221,1,812,15,7,2,2,2,0.028821428571428574,0.2080357142857143,0.7630714285714284,0.7831178571428571,27,1,NULL
3.9268912529550826,222,18,16920,166,63,30,25,64,0.051612068965517226,0.20469540229885036,0.7437011494252873,0.5681761494252882,280,63,5
2.9382239382239383,223,3,518,12,3,4,4,14,0.06694594594594594,0.15962162162162158,0.7734054054054054,0.43810810810810824,28,9,NULL
2.0,224,1,72,NULL,1,2,NULL,5,0.1235,0.1425,0.734125,0.142025,5,3,NULL
2.872340425531915,225,5,94,5,4,1,3,7,0.0961,0.14845,0.7553999999999998,0.26776999999999995,13,7,NULL
3.950449101796407,226,11,3340,61,25,14,7,16,0.047260162601626014,0.2148780487804878,0.737837398373984,0.6794626016260163,112,11,NULL
3.323644933228594,227,8,1273,24,18,7,6,22,0.054623376623376615,0.1491298701298701,0.7962337662337666,0.382903896103896,54,20,3
3.7889207258834765,228,3,2094,24,13,18,4,9,0.06423529411764706,0.19032352941176475,0.7455000000000002,0.5218838235294119,54,13,1
3.232673267326733,229,12,1111,27,24,15,6,22,0.05346808510638298,0.1739468085106383,0.7725638297872338,0.45778617021276596,70,22,2
3.8706896551724137,230,9,1392,31,24,8,4,11,0.03960256410256412,0.20266666666666674,0.757679487179487,0.6206987179487182,65,12,1
2.958077709611452,231,13,489,28,10,4,8,21,0.05109859154929576,0.16859154929577472,0.7803098591549295,0.47711690140845087,53,17,1
3.989363330272421,232,10,6534,63,30,11,7,20,0.05555725190839694,0.17483206106870228,0.7695725190839688,0.5410358778625953,105,24,2
3.994805371364418,233,21,228024,379,269,74,46,78,0.04589361702127658,0.1974562647754135,0.756634751773051,0.6842157210401884,738,99,9
3.6173618527784654,234,64,270599,739,479,220,149,278,0.04839731903485269,0.18419517426273466,0.7674042895442343,0.6243721179624665,1577,271,17
3.8600398334238637,235,40,27615,279,143,60,43,111,0.05298427672955973,0.1913710691823898,0.7556147798742137,0.5992573899371068,528,104,4
3.3360331746314635,236,44,157108,420,316,116,103,243,0.05132554257095158,0.18359515859766293,0.7650626043405684,0.5819411519198668,973,217,8
3.6567507208468135,237,46,130749,580,227,99,94,189,0.04480403700588737,0.18858788898233855,0.7666139613120277,0.6278703952901606,999,171,19
3.8635591316999816,238,59,204814,862,445,164,120,190,0.043447501403705804,0.20195283548568235,0.7546086468276256,0.6668658057271201,1544,213,24
4.350773072390072,239,42,1715622,1383,789,192,144,175,0.037943719716735026,0.23265374580693343,0.7294088706671615,0.7493791651136777,2441,208,34
4.160480956352516,240,13,122298,399,149,70,38,37,0.03324963924963925,0.23087734487734496,0.7358658008658006,0.8097633477633469,654,37,2
3.2847919655667144,244,8,1394,36,13,14,12,14,0.054775280898876406,0.17850561797752815,0.7666966292134831,0.45984382022471915,64,22,3
3.5244565217391304,245,7,368,15,7,4,3,12,0.06604878048780487,0.19104878048780485,0.7428780487804878,0.4232365853658535,30,10,1
2.9907834101382487,246,2,1736,10,12,5,3,14,0.05356818181818181,0.14415909090909088,0.80225,0.44872045454545445,33,11,NULL
3.6166434540389973,247,5,1436,32,10,5,5,18,0.06482857142857143,0.14179999999999998,0.7933714285714285,0.3646099999999999,49,19,2
3.3890728476821192,248,10,302,20,5,6,2,15,0.05260416666666665,0.14962500000000004,0.797875,0.45282291666666663,37,11,NULL
3.8101604278074865,249,8,561,26,7,2,1,15,0.05858823529411765,0.16627450980392158,0.7752156862745099,0.4620627450980392,37,12,2
3.58020618556701,250,16,2425,47,28,18,11,29,0.05232330827067669,0.15833834586466156,0.7893383458646616,0.48362932330827063,100,28,5
3.511923714577455,251,18,91079,150,157,69,41,77,0.05416599190283401,0.1680060728744938,0.7778097165991891,0.5488360323886636,397,92,5
4.1204937304075235,252,25,5104,140,54,27,22,40,0.05035689045936396,0.17506713780918742,0.7745441696113076,0.5966597173144874,234,46,3
3.820294482880965,253,46,50733,220,211,105,82,132,0.05202133333333333,0.1810306666666666,0.7669213333333331,0.5561658666666669,598,141,11
3.8110210855818316,254,54,142799,790,391,195,130,242,0.04620709382151028,0.1880011441647595,0.7657866132723107,0.6470893592677353,1489,230,29
3.928096801357596,255,64,935772,1258,851,348,229,277,0.04108741140735753,0.20809483631454542,0.7508056024299679,0.7052477556530541,2642,308,13
3.8520305208727454,256,85,634320,1600,1089,484,358,509,0.044315099009901035,0.2041495049504959,0.7515334158415834,0.66636717821782,3486,519,35
3.9134267327387913,257,55,498647,1011,735,314,224,256,0.040159055118110284,0.20683582677165357,0.7530047244094493,0.7286976771653526,2281,243,16
3.8469986226774786,258,15,109633,268,155,85,65,66,0.04176995305164319,0.2239374021909233,0.7342754303599377,0.7306028169014089,571,65,3
3.8865442354413995,259,29,94257,424,206,87,90,104,0.040176728869374304,0.20911855104281002,0.7507036223929751,0.7113593852908895,807,97,7
4.0,264,1,20368,37,71,13,5,8,0.04020149253731343,0.1912388059701492,0.7685597014925373,0.742762686567164,121,12,1
3.13659793814433,265,5,194,11,4,4,1,10,0.07316666666666667,0.1722333333333333,0.7546333333333333,0.2966433333333333,19,11,NULL
3.8665794637017656,267,8,1529,28,18,7,4,12,0.04682608695652175,0.2242028985507246,0.7289855072463767,0.6033594202898551,58,10,1
3.594834199982951,268,49,46924,345,154,78,52,145,0.04393540051679583,0.193078811369509,0.7629741602067188,0.6133860465116282,651,109,14
3.983177339185536,269,19,68806,258,172,61,46,58,0.038799999999999994,0.21748067226890752,0.7437092436974795,0.7122255462184872,532,59,4
3.667471430870755,270,15,6213,68,54,19,17,51,0.057784688995215314,0.1821483253588517,0.7600430622009571,0.46246124401913824,154,52,3
3.802105364353009,271,20,10402,104,64,19,19,34,0.05052916666666667,0.18471250000000003,0.7648125000000002,0.5547575000000001,191,45,4
3.902584204413473,272,11,6888,62,39,17,12,17,0.04408163265306123,0.19219047619047622,0.7637074829931974,0.5939836734693875,121,23,3
3.558482842710329,273,22,11482,94,58,25,28,45,0.04341600000000001,0.1738639999999999,0.7827559999999998,0.6000707999999999,209,38,3
4.018758526603001,274,6,1466,40,3,1,3,7,0.04025925925925925,0.21887037037037038,0.7407592592592595,0.743912962962963,49,5,NULL
4.137209912154189,275,45,68643,531,179,69,90,110,0.04115321756894795,0.21103983656792652,0.7478059244126665,0.6855706843718083,857,112,10
3.92780457627915,276,33,383106,774,345,147,94,158,0.04283399209486166,0.2139499341238471,0.7432154150197623,0.7099470355731216,1341,157,20
3.9985748739311555,277,5,9122,72,15,4,6,14,0.035495495495495494,0.23710810810810806,0.7273603603603607,0.7922819819819822,103,8,NULL
3.510204081632653,278,2,1323,23,7,2,4,15,0.049647058823529405,0.17103921568627453,0.7792941176470589,0.5970803921568627,43,8,NULL
4.5,279,3,49,9,2,NULL,NULL,NULL,0.011545454545454546,0.2731818181818182,0.7152727272727273,0.7724818181818182,10,NULL,1
4.0,280,2,45156,112,59,22,10,9,0.03127358490566038,0.2246179245283019,0.7441273584905661,0.7954731132075468,195,16,1
4.0,282,1,256,6,6,1,2,1,0.0255625,0.30175,0.6727499999999998,0.76734375,14,2,NULL
2.9595330739299612,284,13,1285,16,25,25,11,25,0.061372549019607835,0.1671960784313725,0.7713725490196077,0.4424343137254901,78,23,1
4.5,285,1,24,3,NULL,NULL,NULL,1,0.04375,0.31124999999999997,0.645,0.55135,3,1,NULL
4.0,286,1,169,10,NULL,1,NULL,2,0.04853846153846153,0.14969230769230768,0.8019230769230767,0.5376000000000001,10,3,NULL
4.084507042253521,287,6,71,15,2,NULL,NULL,4,0.043761904761904766,0.1777142857142857,0.7784761904761904,0.4333285714285714,15,4,2
3.465773097175682,288,5,2089,15,17,13,5,10,0.04820000000000002,0.23603333333333334,0.7158166666666665,0.653773333333333,53,7,NULL
3.2619222303741746,289,12,1363,42,15,10,8,34,0.07042201834862387,0.19022018348623865,0.7393027522935779,0.39092293577981635,75,34,NULL
3.93080204778157,290,8,11720,97,46,20,12,17,0.03995833333333334,0.1952291666666667,0.7648124999999998,0.6914729166666667,170,18,4
4.394716874783212,291,19,46128,212,115,33,22,62,0.04759009009009006,0.20620495495495492,0.7462184684684677,0.6502943693693701,374,64,6
3.2960921031295607,292,25,6167,109,40,38,26,70,0.06007773851590103,0.18387632508833923,0.7560070671378087,0.49395618374558314,217,64,2
3.8141179701984482,293,23,29126,183,106,53,31,72,0.04577528089887642,0.20053258426966294,0.7536898876404494,0.5928110112359554,365,69,11
4.0,294,1,25,4,NULL,NULL,NULL,1,0.040600000000000004,0.213,0.7464,0.9086400000000001,5,NULL,NULL
3.8314855312007325,295,19,78652,264,200,75,56,95,0.043817391304347836,0.2057318840579711,0.7504710144927543,0.6431105797101444,593,88,9
3.624854213642271,296,15,180058,246,184,121,80,101,0.0487172131147541,0.21392076502732219,0.7373620218579232,0.6471997267759554,622,109,1
3.0046063137206733,300,3,8141,24,17,16,13,27,0.04870103092783504,0.18308247422680415,0.768237113402062,0.5952474226804125,82,15,NULL
5.0,301,1,20,4,NULL,NULL,NULL,NULL,0.01575,0.15075,0.83325,0.97905,4,NULL,NULL
1.5,302,1,25,NULL,NULL,1,NULL,4,0.0596,0.1146,0.826,0.18556,3,2,NULL
3.6315789473684212,303,2,76,6,1,4,NULL,2,0.08076923076923077,0.21846153846153846,0.7008461538461538,0.37228461538461544,9,4,NULL
4.121383363471971,304,10,2212,48,15,13,2,23,0.042188118811881205,0.22460396039603964,0.733237623762376,0.6097465346534655,84,16,1
